id,full_name,verdict,new_aptronym_score,new_review_status,new_aptronym_type,new_connection,new_name_origin,new_name_status,new_person_source_url,new_notes,reason
apt-0891,Officer Gunz,fix,,borderline,,,,unknown,,,Green Bay Press Gazette aptronym survey names Officer Gunz without first name or department roster link.
apt-0892,Officer Officer,fix,,probable,,,,unknown,,,Press survey names surname Officer only; first name not given in source.
apt-0893,Officer Pistohl,fix,,probable,,,,unknown,,,Press survey names Officer Pistohl without full identity or roster confirmation.
apt-0894,Officer Puestohl,fix,,borderline,,,,unknown,,,Press survey names Officer Puestohl without roster confirmation.
apt-0909,Paul Looney,rescore,2,,,,,,,,Loony/Looney slang stretch for psychiatrist.
apt-0917,Peter Burns-Cox,rescore,3,borderline,,,,,,,Burns-Cox wordplay from Dent anecdote; weak without independent urologist profile.
apt-0923,Peter Pullum,rescore,2,borderline,,,,,,,Pullum/testicular exam anecdote from magazine only; person not independently verified.
apt-0934,Pierre Boncoeur,fix,,borderline,,,,,,,Fatrazie registry only; cardiologist attested by aptonym list not independent clinic page.
apt-0969,Rex Armstrong,fix,,borderline,,,,,,,LinkedIn profile does not establish judicial role authoritatively.
apt-0976,Richard Carver,rescore,3,probable,,,,,,,Common surname with glancing link; rubric score 3 not 4.
apt-0977,Richard Chopp,reject,,rejected,,,,,,,Duplicate of apt-0986 Richard Thomas Chopp; Slate listicle does not independently identify this urologist.
apt-0980,Richard Hart,fix,2,probable,,,,,,,person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.
apt-0986,Richard Thomas Chopp,fix,5,,,"Known as Dr. Dick Chopp, his name is a urology pun.",,,https://care.healthline.com/find-care/provider/dr-richard-chopp-1528061439,,opennpi.com is third-party directory; replace with Healthline provider page.
apt-0991,Rob Banks,fix,,probable,,,,,https://en.wikipedia.org/wiki/Nominative_determinism,British PC Rob Banks widely cited in nominative-determinism sources; needs dedicated news or force profile URL.,person_source_url was generic Aptronym page; Rob Banks not named on that page.
apt-1010,Robert Payne,fix,2,probable,,,,,,,person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.
apt-1013,Robert Skinner,fix,2,probable,,,,,,,person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.
apt-1040,Salmon Portland Chase,rescore,3,,,,,,,,Chase/pursuit common surname.
apt-1048,Samuel Chase,rescore,2,,,,,,,,Chase/pursuit common surname.
apt-1057,Sarah Payne,fix,2,probable,,,,,,,person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.
apt-1080,Shari Skinner,fix,2,probable,,,,,,,person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.
apt-1082,Sheila Boyle,rescore,2,,,,,,,,Common surname with glancing link; rubric score 2 not 3.
apt-1168,Todd Sleeper,fix,,probable,,,,,,,person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.
apt-1201,Waller Thomas Burns,rescore,1,,,,,,,,Burns/fire weak link.
apt-1220,William Blackstone,rescore,2,,,,,,,,Blackstone/dark cornerstone is speculative.
apt-1230,William H. Steele,rescore,2,,,,,,,,Steele/steal pun weak.
apt-1235,William Lawson,rescore,3,,,,,,,,Lawson/law embedded moderate.
apt-1241,William S. Strong,rescore,1,,,,,,,,Strong/strong arm faint echo.
apt-1244,William Strong,rescore,2,,,,,,,,Strong/strong arm common surname.
apt-1259,Yolande Laloi,fix,,borderline,,,,,,,Fatrazie registry only; avocat attested by aptonym list not independent firm page.
apt-1264,Zita Galvin,rescore,1,,,,,,,,Galvin has no liver etymology; affiliation with Liver Centre is coincidence.
